x(ps)	counts	counts(1/s)
0	1458	14580
0.09999999999999999	1413	14130
0.19999999999999998	1374	13740
0.3	1450	14500
0.39999999999999997	1352	13520
0.5	1443	14430
0.6	1344	13440
0.7	1351	13510
0.7999999999999999	1380	13800
0.9	1391	13910
1	1368	13680
1.1	1398	13980
1.2	1418	14180
1.3	13159	131590
1.4	13383	133830
1.5	13345	133450
1.5999999999999999	13436	134360
1.7	13516	135160
1.8	13365	133650
1.9	13254	132540
2	13540	135400
2.1	13428	134280
2.2	13641	136410
2.3	14048	140480
2.4	13842	138420
2.5	13962	139620
2.6	13980	139800
2.6999999999999997	14101	141010
2.8	13975	139750
2.9	13967	139670
3	13903	139030
3.1	14058	140580
3.1999999999999997	14063	140630
3.3	1533	15330
3.4	1160	11600
3.5	1146	11460
3.6	1119	11190
3.6999999999999997	1075	10750
3.8	1053	10530
3.9	1084	10840
4	1106	11060
4.1	1121	11210
4.2	1142	11420
4.3	1473	14730
4.4	1416	14160
4.5	1410	14100
4.6	1394	13940
4.7	1446	14460
4.8	1380	13800
4.8999999999999995	1407	14070
5	1372	13720
5.1	1306	13060
5.2	1351	13510
5.3	13228	132280
5.3999999999999995	13395	133950
5.5	13449	134490
5.6	13423	134230
5.7	13482	134820
5.8	13302	133020
5.8999999999999995	13639	136390
6	13458	134580
6.1	13418	134180
6.2	13585	135850
6.3	13979	139790
6.3999999999999995	14107	141070
6.5	13967	139670
6.6	13850	138500
6.7	13867	138670
6.8	14033	140330
6.8999999999999995	13842	138420
7	14088	140880
7.1	13856	138560
7.2	14123	141230
7.3	1571	15710
7.3999999999999995	1054	10540
7.5	1120	11200
7.6	1111	11110
7.7	1122	11220
7.8	1086	10860
7.8999999999999995	1081	10810
8	1070	10700
8.1	1137	11370
8.2	1104	11040
8.3	1475	14750
8.4	1354	13540
8.5	1362	13620
8.6	1399	13990
8.7	1383	13830
8.8	1383	13830
8.9	1404	14040
9	1395	13950
9.1	1407	14070
9.2	1418	14180
9.299999999999999	13061	130610
9.4	13377	133770
9.5	13485	134850
9.6	13474	134740
9.7	13461	134610
9.799999999999999	13725	137250
9.9	1080	10800
