Time(ps)	Counts
-1.5e-7	32	
-1.49e-7	15	
-1.48e-7	31	
-1.47e-7	38	
-1.4599999999999998e-7	28	
-1.45e-7	29	
-1.44e-7	28	
-1.43e-7	21	
-1.42e-7	40	
-1.41e-7	25	
-1.4e-7	27	
-1.39e-7	29	
-1.38e-7	33	
-1.37e-7	32	
-1.36e-7	24	
-1.35e-7	25	
-1.34e-7	26	
-1.3299999999999999e-7	24	
-1.32e-7	31	
-1.31e-7	30	
-1.3e-7	24	
-1.29e-7	19	
-1.28e-7	50	
-1.2699999999999999e-7	32	
-1.26e-7	58	
-1.25e-7	95	
-1.24e-7	147	
-1.23e-7	286	
-1.22e-7	694	
-1.2099999999999998e-7	1466	
-1.2e-7	1379	
-1.19e-7	1727	
-1.18e-7	2915	
-1.17e-7	5076	
-1.1599999999999999e-7	9575	
-1.15e-7	17996	
-1.14e-7	35794	
-1.1299999999999999e-7	78248	
-1.12e-7	199490	
-1.11e-7	608449	
-1.0999999999999999e-7	1899722	
-1.09e-7	2058490	
-1.08e-7	251570	
-1.0699999999999999e-7	16914	
-1.06e-7	2302	
-1.05e-7	418	
-1.0399999999999999e-7	126	
-1.03e-7	116	
-1.02e-7	105	
-1.01e-7	110	
-1e-7	84	
-9.9e-8	90	
-9.8e-8	107	
-9.7e-8	93	
-9.6e-8	116	
-9.5e-8	90	
-9.4e-8	97	
-9.3e-8	102	
-9.2e-8	115	
-9.1e-8	106	
-9e-8	105	
-8.9e-8	109	
-8.8e-8	79	
-8.7e-8	93	
-8.6e-8	105	
-8.5e-8	120	
-8.4e-8	98	
-8.3e-8	104	
-8.199999999999999e-8	89	
-8.1e-8	82	
-8e-8	102	
-7.899999999999999e-8	107	
-7.8e-8	109	
-7.7e-8	95	
-7.599999999999999e-8	99	
-7.5e-8	119	
-7.4e-8	86	
-7.299999999999999e-8	104	
-7.2e-8	101	
-7.1e-8	106	
-7e-8	111	
-6.9e-8	97	
-6.8e-8	101	
-6.7e-8	89	
-6.6e-8	100	
-6.5e-8	111	
-6.4e-8	89	
-6.3e-8	104	
-6.2e-8	118	
-6.1e-8	100	
-6e-8	108	
-5.9e-8	114	
-5.7999999999999997e-8	100	
-5.7e-8	107	
-5.6e-8	93	
-5.4999999999999996e-8	95	
-5.4e-8	96	
-5.3e-8	105	
-5.1999999999999996e-8	99	
-5.1e-8	93	
-5e-8	86	
-4.9e-8	91	
-4.8e-8	96	
-4.7e-8	83	
-4.6e-8	77	
-4.5e-8	87	
-4.4e-8	90	
-4.3e-8	105	
-4.2e-8	103	
-4.0999999999999997e-8	93	
-4e-8	107	
-3.9e-8	98	
-3.7999999999999996e-8	106	
-3.7e-8	101	
-3.6e-8	108	
-3.5e-8	109	
-3.4e-8	128	
-3.3e-8	107	
-3.2e-8	111	
-3.1e-8	101	
-3e-8	116	
-2.8999999999999998e-8	88	
-2.8e-8	97	
-2.7e-8	98	
-2.5999999999999998e-8	97	
-2.5e-8	106	
-2.4e-8	109	
-2.3e-8	118	
-2.2e-8	104	
-2.1e-8	79	
-2e-8	82	
-1.8999999999999998e-8	116	
-1.8e-8	107	
-1.7e-8	105	
-1.6e-8	101	
-1.5e-8	111	
-1.4e-8	92	
-1.2999999999999999e-8	104	
-1.2e-8	111	
-1.1e-8	115	
-1e-8	96	
-9e-9	90	
-8e-9	89	
-7e-9	124	
-6e-9	114	
-5e-9	104	
-4e-9	92	
-3e-9	104	
-2e-9	88	
-1e-9	87	
0	22	
1e-9	28	
2e-9	24	
3e-9	24	
4e-9	35	
5e-9	33	
6e-9	32	
7e-9	34	
8e-9	28	
9e-9	29	
1e-8	28	
1.1e-8	36	
1.2e-8	23	
1.2999999999999999e-8	29	
1.4e-8	27	
1.5e-8	33	
1.6e-8	24	
1.7e-8	29	
1.8e-8	31	
1.8999999999999998e-8	27	
2e-8	21	
2.1e-8	25	
2.2e-8	36	
2.3e-8	30	
2.4e-8	25	
2.5e-8	29	
2.5999999999999998e-8	36	
2.7e-8	23	
2.8e-8	33	
2.8999999999999998e-8	19	
3e-8	35	
3.1e-8	27	
3.2e-8	35	
3.3e-8	35	
3.4e-8	18	
3.5e-8	36	
3.6e-8	37	
3.7e-8	29	
3.7999999999999996e-8	20	
3.9e-8	25	
4e-8	26	
4.0999999999999997e-8	37	
4.2e-8	20	
4.3e-8	31	
4.4e-8	24	
4.5e-8	19	
4.6e-8	35	
4.7e-8	37	
4.8e-8	33	
4.9e-8	33	
5e-8	25	
5.1e-8	21	
5.1999999999999996e-8	23	
5.3e-8	33	
5.4e-8	28	
5.4999999999999996e-8	23	
5.6e-8	33	
5.7e-8	29	
5.7999999999999997e-8	31	
5.9e-8	31	
6e-8	24	
6.1e-8	17	
6.2e-8	30	
6.3e-8	26	
6.4e-8	29	
6.5e-8	24	
6.6e-8	39	
6.7e-8	31	
6.8e-8	28	
6.9e-8	30	
7e-8	27	
7.1e-8	33	
7.2e-8	32	
7.299999999999999e-8	27	
7.4e-8	23	
7.5e-8	30	
7.599999999999999e-8	30	
7.7e-8	18	
7.8e-8	26	
7.899999999999999e-8	24	
8e-8	36	
8.1e-8	34	
8.199999999999999e-8	35	
8.3e-8	35	
8.4e-8	36	
8.5e-8	22	
8.6e-8	39	
8.7e-8	30	
8.8e-8	36	
8.9e-8	18	
9e-8	26	
9.1e-8	32	
9.2e-8	22	
9.3e-8	29	
9.4e-8	27	
9.5e-8	28	
9.6e-8	23	
9.7e-8	27	
9.8e-8	37	
9.9e-8	24	
1e-7	26	
1.01e-7	33	
1.02e-7	31	
1.03e-7	29	
1.0399999999999999e-7	30	
1.05e-7	31	
1.06e-7	29	
1.0699999999999999e-7	27	
1.08e-7	23	
1.09e-7	27	
1.0999999999999999e-7	36	
1.11e-7	26	
1.12e-7	25	
1.1299999999999999e-7	35	
1.14e-7	29	
1.15e-7	26	
1.1599999999999999e-7	24	
1.17e-7	39	
1.18e-7	30	
1.19e-7	23	
1.2e-7	40	
1.2099999999999998e-7	29	
1.22e-7	25	
1.23e-7	33	
1.24e-7	30	
1.25e-7	37	
1.26e-7	30	
1.2699999999999999e-7	29	
1.28e-7	26	
1.29e-7	26	
1.3e-7	34	
1.31e-7	31	
1.32e-7	32	
1.3299999999999999e-7	37	
1.34e-7	26	
1.35e-7	28	
1.36e-7	28	
1.37e-7	30	
1.38e-7	23	
1.39e-7	28	
1.4e-7	26	
1.41e-7	18	
1.42e-7	24	
1.43e-7	29	
1.44e-7	32	
1.45e-7	26	
1.4599999999999998e-7	42	
1.47e-7	29	
1.48e-7	26	
1.49e-7	32	
