x(ps)	counts	counts(1/s)
0	1157	11570
0.09999999999999999	1176	11760
0.19999999999999998	1115	11150
0.3	1065	10650
0.39999999999999997	1124	11240
0.5	1140	11400
0.6	1157	11570
0.7	1178	11780
0.7999999999999999	1147	11470
0.9	1108	11080
1	1311	13110
1.1	1376	13760
1.2	1443	14430
1.3	1356	13560
1.4	1354	13540
1.5	1363	13630
1.5999999999999999	1347	13470
1.7	1370	13700
1.8	1443	14430
1.9	1708	17080
2	12840	128400
2.1	12922	129220
2.2	13149	131490
2.3	12979	129790
2.4	12918	129180
2.5	12846	128460
2.6	12995	129950
2.6999999999999997	12978	129780
2.8	12915	129150
2.9	12677	126770
3	12532	125320
3.1	12463	124630
3.1999999999999997	12477	124770
3.3	12328	123280
3.4	12343	123430
3.5	12460	124600
3.6	12592	125920
3.6999999999999997	12297	122970
3.8	12334	123340
3.9	12121	121210
4	1115	11150
4.1	1147	11470
4.2	1552	15520
4.3	1822	18220
4.4	1816	18160
4.5	1867	18670
4.6	1806	18060
4.7	1758	17580
4.8	1862	18620
4.8999999999999995	1941	19410
5	2046	20460
5.1	2083	20830
5.2	2158	21580
5.3	2130	21300
5.3999999999999995	2084	20840
5.5	2138	21380
5.6	2126	21260
5.7	2158	21580
5.8	2105	21050
5.8999999999999995	2319	23190
6	13517	135170
6.1	13592	135920
6.2	13604	136040
6.3	13631	136310
6.3999999999999995	13611	136110
6.5	13637	136370
6.6	13591	135910
6.7	13385	133850
6.8	13080	130800
6.8999999999999995	13419	134190
7	12782	127820
7.1	12919	129190
7.2	12995	129950
7.3	13063	130630
7.3999999999999995	13097	130970
7.5	13071	130710
7.6	13015	130150
7.7	13144	131440
7.8	12914	129140
7.8999999999999995	12828	128280
8	1865	18650
8.1	1767	17670
8.2	1839	18390
8.3	1894	18940
8.4	1893	18930
8.5	3258	32580
8.6	5085	50850
8.7	5281	52810
8.8	5210	52100
8.9	5343	53430
9	5370	53700
9.1	5338	53380
9.2	5239	52390
9.299999999999999	5377	53770
9.4	5380	53800
9.5	5431	54310
9.6	5448	54480
9.7	5273	52730
9.799999999999999	5317	53170
9.9	5695	56950
