x(ps)	counts	counts(1/s)
0	366	3660
0.09999999999999999	358	3580
0.19999999999999998	313	3130
0.3	367	3670
0.39999999999999997	362	3620
0.5	366	3660
0.6	363	3630
0.7	368	3680
0.7999999999999999	395	3950
0.9	369	3690
1	369	3690
1.1	363	3630
1.2	350	3500
1.3	365	3650
1.4	379	3790
1.5	378	3780
1.5999999999999999	371	3710
1.7	336	3360
1.8	354	3540
1.9	346	3460
2	352	3520
2.1	358	3580
2.2	376	3760
2.3	378	3780
2.4	359	3590
2.5	345	3450
2.6	385	3850
2.6999999999999997	375	3750
2.8	358	3580
2.9	316	3160
3	370	3700
3.1	373	3730
3.1999999999999997	384	3840
3.3	367	3670
3.4	375	3750
3.5	350	3500
3.6	340	3400
3.6999999999999997	347	3470
3.8	351	3510
3.9	336	3360
4	371	3710
4.1	394	3940
4.2	352	3520
4.3	346	3460
4.4	357	3570
4.5	369	3690
4.6	343	3430
4.7	370	3700
4.8	391	3910
4.8999999999999995	370	3700
5	366	3660
5.1	363	3630
5.2	344	3440
5.3	354	3540
5.3999999999999995	373	3730
5.5	357	3570
5.6	336	3360
5.7	369	3690
5.8	328	3280
5.8999999999999995	342	3420
6	351	3510
6.1	321	3210
6.2	351	3510
6.3	402	4020
6.3999999999999995	370	3700
6.5	419	4190
6.6	395	3950
6.7	334	3340
6.8	391	3910
6.8999999999999995	334	3340
7	347	3470
7.1	335	3350
7.2	359	3590
7.3	337	3370
7.3999999999999995	354	3540
7.5	375	3750
7.6	350	3500
7.7	342	3420
7.8	353	3530
7.8999999999999995	362	3620
8	357	3570
8.1	351	3510
8.2	365	3650
8.3	372	3720
8.4	375	3750
8.5	374	3740
8.6	367	3670
8.7	393	3930
8.8	354	3540
8.9	378	3780
9	357	3570
9.1	328	3280
9.2	407	4070
9.299999999999999	375	3750
9.4	356	3560
9.5	386	3860
9.6	342	3420
9.7	374	3740
9.799999999999999	404	4040
9.9	364	3640
