x(ps)	counts	counts(1/s)	counts	counts(1/s)
0	199987	1999870	13220	132200
0.09999999999999999	199987	1999870	13328	133280
0.19999999999999998	199987	1999870	13488	134880
0.3	199987	1999870	13163	131630
0.39999999999999997	199986	1999860	13207	132070
0.5	199987	1999870	13478	134780
0.6	199987	1999870	13525	135250
0.7	199987	1999870	13947	139470
0.7999999999999999	199987	1999870	13862	138620
0.9	199987	1999870	13879	138790
1	199987	1999870	13904	139040
1.1	199986	1999860	13904	139040
1.2	199987	1999870	13915	139150
1.3	199987	1999870	13948	139480
1.4	199987	1999870	14066	140660
1.5	199987	1999870	14177	141770
1.5999999999999999	199987	1999870	10996	109960
1.7	199987	1999870	1136	11360
1.8	199986	1999860	1122	11220
1.9	199987	1999870	1069	10690
2	199987	1999870	1131	11310
2.1	199987	1999870	1179	11790
2.2	199987	1999870	1109	11090
2.3	199987	1999870	1068	10680
2.4	199987	1999870	1109	11090
2.5	199986	1999860	1012	10120
2.6	199987	1999870	1240	12400
2.6999999999999997	199987	1999870	1372	13720
2.8	199987	1999870	1349	13490
2.9	199987	1999870	1391	13910
3	199987	1999870	1435	14350
3.1	199987	1999870	1378	13780
3.1999999999999997	199987	1999870	1409	14090
3.3	199986	1999860	1341	13410
3.4	199987	1999870	1383	13830
3.5	199987	1999870	1436	14360
3.6	199987	1999870	4291	42910
3.6999999999999997	199987	1999870	13404	134040
3.8	199987	1999870	13418	134180
3.9	199987	1999870	13292	132920
4	199986	1999860	13303	133030
4.1	199987	1999870	13170	131700
4.2	199987	1999870	13496	134960
4.3	199987	1999870	13526	135260
4.4	199987	1999870	13162	131620
4.5	199987	1999870	13289	132890
4.6	199987	1999870	13381	133810
4.7	199986	1999860	13830	138300
4.8	199987	1999870	13948	139480
4.8999999999999995	199987	1999870	13887	138870
5	199987	1999870	13921	139210
5.1	199987	1999870	13821	138210
5.2	199987	1999870	13876	138760
5.3	199987	1999870	13937	139370
5.3999999999999995	199986	1999860	13952	139520
5.5	199987	1999870	13677	136770
5.6	199987	1999870	10965	109650
5.7	199987	1999870	1103	11030
5.8	199987	1999870	1052	10520
5.8999999999999995	199987	1999870	1112	11120
6	199987	1999870	1043	10430
6.1	199986	1999860	1163	11630
6.2	199987	1999870	1099	10990
6.3	199987	1999870	1082	10820
6.3999999999999995	199987	1999870	1135	11350
6.5	199987	1999870	1150	11500
6.6	199987	1999870	1162	11620
6.7	199987	1999870	1376	13760
6.8	199986	1999860	1409	14090
6.8999999999999995	199987	1999870	1366	13660
7	199987	1999870	1366	13660
7.1	199987	1999870	1417	14170
7.2	199987	1999870	1388	13880
7.3	199987	1999870	1357	13570
7.3999999999999995	199987	1999870	1414	14140
7.5	199986	1999860	1433	14330
7.6	199987	1999870	1385	13850
7.7	199987	1999870	1318	13180
7.8	199987	1999870	1367	13670
7.8999999999999995	199987	1999870	1315	13150
8	199987	1999870	1412	14120
8.1	199987	1999870	1356	13560
8.2	199987	1999870	1415	14150
8.3	199986	1999860	10419	104190
8.4	199987	1999870	13202	132020
8.5	199987	1999870	13155	131550
8.6	199987	1999870	13112	131120
8.7	199987	1999870	13071	130710
8.8	199987	1999870	13059	130590
8.9	199987	1999870	13251	132510
9	199986	1999860	13250	132500
9.1	199987	1999870	13369	133690
9.2	199987	1999870	13192	131920
9.299999999999999	199987	1999870	13720	137200
9.4	199987	1999870	13847	138470
9.5	199987	1999870	13769	137690
9.6	199987	1999870	13849	138490
9.7	199986	1999860	13813	138130
9.799999999999999	199987	1999870	13954	139540
9.9	199987	1999870	13501	135010
