x(ps)	counts	counts(1/s)
0	4520	45200
0.09999999999999999	4525	45250
0.19999999999999998	4469	44690
0.3	4473	44730
0.39999999999999997	4484	44840
0.5	4596	45960
0.6	4427	44270
0.7	4428	44280
0.7999999999999999	4479	44790
0.9	4530	45300
1	3742	37420
1.1	219	2190
1.2	247	2470
1.3	227	2270
1.4	259	2590
1.5	218	2180
1.5999999999999999	209	2090
1.7	233	2330
1.8	259	2590
1.9	239	2390
2	268	2680
2.1	231	2310
2.2	239	2390
2.3	271	2710
2.4	231	2310
2.5	249	2490
2.6	271	2710
2.6999999999999997	226	2260
2.8	252	2520
2.9	228	2280
3	1062	10620
3.1	4459	44590
3.1999999999999997	4367	43670
3.3	4604	46040
3.4	4601	46010
3.5	4492	44920
3.6	4511	45110
3.6999999999999997	4592	45920
3.8	4449	44490
3.9	4459	44590
4	4501	45010
4.1	4513	45130
4.2	4492	44920
4.3	4421	44210
4.4	4472	44720
4.5	4381	43810
4.6	4530	45300
4.7	4282	42820
4.8	4492	44920
4.8999999999999995	4467	44670
5	3731	37310
5.1	212	2120
5.2	207	2070
5.3	241	2410
5.3999999999999995	206	2060
5.5	219	2190
5.6	221	2210
5.7	232	2320
5.8	236	2360
5.8999999999999995	235	2350
6	252	2520
6.1	266	2660
6.2	246	2460
6.3	222	2220
6.3999999999999995	248	2480
6.5	249	2490
6.6	240	2400
6.7	251	2510
6.8	241	2410
6.8999999999999995	285	2850
7	1010	10100
7.1	4562	45620
7.2	4430	44300
7.3	4408	44080
7.3999999999999995	4432	44320
7.5	4412	44120
7.6	4415	44150
7.7	4545	45450
7.8	4476	44760
7.8999999999999995	4469	44690
8	4451	44510
8.1	4479	44790
8.2	4552	45520
8.3	4409	44090
8.4	4596	45960
8.5	4416	44160
8.6	4530	45300
8.7	4463	44630
8.8	4466	44660
8.9	4479	44790
9	3771	37710
9.1	217	2170
9.2	211	2110
9.299999999999999	236	2360
9.4	242	2420
9.5	219	2190
9.6	233	2330
9.7	222	2220
9.799999999999999	239	2390
9.9	197	1970
10	268	2680
10.1	245	2450
10.2	265	2650
10.299999999999999	243	2430
10.4	248	2480
10.5	219	2190
10.6	259	2590
10.7	279	2790
10.799999999999999	266	2660
10.9	240	2400
11	982	9820
11.1	4356	43560
11.2	4450	44500
11.299999999999999	4439	44390
11.4	4415	44150
11.5	4473	44730
11.6	4464	44640
11.7	4471	44710
11.799999999999999	4583	45830
11.9	4444	44440
12	4447	44470
12.1	4493	44930
12.2	4414	44140
12.299999999999999	4521	45210
12.4	4514	45140
12.5	4493	44930
12.6	4455	44550
12.7	4489	44890
12.799999999999999	4431	44310
12.9	4489	44890
13	3810	38100
13.1	211	2110
13.2	220	2200
13.299999999999999	225	2250
13.4	211	2110
13.5	216	2160
13.6	237	2370
13.7	219	2190
13.799999999999999	221	2210
13.9	222	2220
14	240	2400
14.1	288	2880
14.2	252	2520
14.299999999999999	244	2440
14.4	213	2130
14.5	248	2480
14.6	284	2840
14.7	285	2850
