x(ps)	counts	counts(1/s)
0	2321	23210
0.09999999999999999	2283	22830
0.19999999999999998	13920	139200
0.3	38444	384440
0.39999999999999997	38350	383500
0.5	38315	383150
0.6	38551	385510
0.7	38514	385140
0.7999999999999999	38598	385980
0.9	38365	383650
1	38398	383980
1.1	38523	385230
1.2	38698	386980
1.3	38108	381080
1.4	38362	383620
1.5	38687	386870
1.5999999999999999	38330	383300
1.7	38395	383950
1.8	38672	386720
1.9	38480	384800
2	38798	387980
2.1	38716	387160
2.2	27152	271520
2.3	2217	22170
2.4	2201	22010
2.5	2159	21590
2.6	2208	22080
2.6999999999999997	2179	21790
2.8	2148	21480
2.9	2176	21760
3	2154	21540
3.1	2152	21520
3.1999999999999997	2366	23660
3.3	2332	23320
3.4	2341	23410
3.5	2336	23360
3.6	2232	22320
3.6999999999999997	2404	24040
3.8	2303	23030
3.9	2293	22930
4	2280	22800
4.1	2368	23680
4.2	13730	137300
4.3	38434	384340
4.4	38479	384790
4.5	38361	383610
4.6	38811	388110
4.7	38673	386730
4.8	38350	383500
4.8999999999999995	38432	384320
5	38005	380050
5.1	38396	383960
5.2	38514	385140
5.3	38579	385790
5.3999999999999995	38610	386100
5.5	38471	384710
5.6	38687	386870
5.7	38617	386170
5.8	38539	385390
5.8999999999999995	38468	384680
6	38505	385050
6.1	38548	385480
6.2	27127	271270
6.3	2108	21080
6.3999999999999995	2061	20610
6.5	2042	20420
6.6	2107	21070
6.7	2136	21360
6.8	2026	20260
6.8999999999999995	2056	20560
7	2041	20410
7.1	2086	20860
7.2	2263	22630
7.3	2209	22090
7.3999999999999995	2279	22790
7.5	2319	23190
7.6	2367	23670
7.7	2437	24370
7.8	2325	23250
7.8999999999999995	2558	25580
8	2567	25670
8.1	2545	25450
8.2	13595	135950
8.3	38484	384840
8.4	38423	384230
8.5	38634	386340
8.6	38406	384060
8.7	38156	381560
8.8	38460	384600
8.9	38579	385790
9	38098	380980
9.1	38550	385500
9.2	38314	383140
9.299999999999999	38361	383610
9.4	38552	385520
9.5	38801	388010
9.6	38319	383190
9.7	38458	384580
9.799999999999999	38554	385540
9.9	38271	382710
10	38373	383730
10.1	38448	384480
10.2	27319	273190
10.299999999999999	2046	20460
10.4	2005	20050
10.5	2076	20760
10.6	2078	20780
10.7	2060	20600
10.799999999999999	2051	20510
10.9	2090	20900
11	2087	20870
11.1	2036	20360
11.2	2280	22800
11.299999999999999	2232	22320
11.4	2238	22380
11.5	2176	21760
11.6	2183	21830
11.7	2240	22400
11.799999999999999	2232	22320
11.9	2310	23100
12	2222	22220
12.1	2304	23040
12.2	13190	131900
12.299999999999999	38222	382220
12.4	38204	382040
12.5	38083	380830
12.6	38115	381150
12.7	37992	379920
12.799999999999999	38186	381860
12.9	37924	379240
13	37986	379860
13.1	38315	383150
13.2	38285	382850
13.299999999999999	38497	384970
13.4	38483	384830
13.5	38813	388130
13.6	38109	381090
13.7	38479	384790
13.799999999999999	38640	386400
13.9	38716	387160
14	38657	386570
14.1	38726	387260
14.2	27474	274740
14.299999999999999	2117	21170
14.4	2093	20930
14.5	2116	21160
14.6	2060	20600
14.7	2106	21060
14.799999999999999	2142	21420
14.9	2045	20450
15	2101	21010
15.1	2075	20750
15.2	2234	22340
15.299999999999999	2282	22820
15.4	2350	23500
15.5	2412	24120
15.6	2272	22720
15.7	2353	23530
15.799999999999999	2318	23180
15.9	2324	23240
16	2388	23880
16.1	2293	22930
16.2	13422	134220
16.3	38949	389490
16.4	38710	387100
16.5	38466	384660
16.6	38767	387670
16.7	38404	384040
16.8	38786	387860
16.9	38786	387860
17	38722	387220
17.1	38481	384810
17.2	38891	388910
17.3	38669	386690
17.4	38680	386800
17.5	38617	386170
17.6	38896	388960
17.7	38943	389430
17.8	38795	387950
17.9	38803	388030
18	38578	385780
18.099999999999998	38651	386510
18.2	27379	273790
18.3	2058	20580
18.4	2086	20860
18.5	1943	19430
18.599999999999998	2101	21010
18.7	2119	21190
18.8	2150	21500
18.9	2102	21020
19	2220	22200
19.099999999999998	2044	20440
19.2	2261	22610
19.3	2287	22870
19.4	2291	22910
19.5	2311	23110
19.599999999999998	2213	22130
19.7	2214	22140
19.8	2256	22560
19.9	2208	22080
20	2296	22960
20.099999999999998	2300	23000
20.2	13324	133240
20.3	38257	382570
20.4	38439	384390
20.5	38202	382020
20.599999999999998	38086	380860
20.7	38197	381970
20.8	38631	386310
20.9	38589	385890
21	38657	386570
21.099999999999998	38312	383120
21.2	38144	381440
21.3	38572	385720
21.4	38339	383390
21.5	38133	381330
21.599999999999998	38388	383880
21.7	38653	386530
21.8	38475	384750
21.9	38641	386410
22	38049	380490
22.099999999999998	38590	385900
22.2	27447	274470
22.3	2027	20270
22.4	2114	21140
22.5	2135	21350
22.599999999999998	2094	20940
22.7	2121	21210
22.8	2090	20900
22.9	2020	20200
23	2102	21020
23.099999999999998	2134	21340
23.2	2257	22570
23.3	2251	22510
23.4	2223	22230
23.5	2197	21970
23.599999999999998	2214	22140
23.7	2329	23290
23.8	2253	22530
23.9	2225	22250
24	2178	21780
24.099999999999998	2198	21980
24.2	13310	133100
24.3	38292	382920
24.4	38620	386200
24.5	38179	381790
24.599999999999998	38715	387150
24.7	38268	382680
24.8	38007	380070
24.9	38123	381230
25	38134	381340
25.099999999999998	38109	381090
25.2	38388	383880
25.3	38202	382020
25.4	38223	382230
25.5	38766	387660
25.599999999999998	38650	386500
25.7	38718	387180
25.8	38380	383800
25.9	38257	382570
26	38873	388730
26.099999999999998	38556	385560
26.2	27739	277390
26.3	2002	20020
26.4	2105	21050
26.5	2147	21470
26.599999999999998	2064	20640
26.7	2069	20690
26.8	2102	21020
26.9	2082	20820
27	2086	20860
27.099999999999998	2097	20970
27.2	2279	22790
27.3	2216	22160
27.4	2270	22700
27.5	2361	23610
27.599999999999998	2235	22350
27.7	2241	22410
27.8	2272	22720
27.9	2196	21960
28	2294	22940
28.099999999999998	2186	21860
28.2	13005	130050
28.3	38155	381550
28.4	37972	379720
28.5	38138	381380
28.599999999999998	37769	377690
28.7	38076	380760
28.8	38346	383460
28.9	38443	384430
29	38342	383420
29.099999999999998	37956	379560
29.2	38186	381860
29.3	38593	385930
29.4	38533	385330
29.5	38533	385330
29.599999999999998	38325	383250
29.7	37936	379360
29.8	38406	384060
29.9	38428	384280
30	38236	382360
30.099999999999998	38312	383120
30.2	27866	278660
30.3	2044	20440
30.4	2088	20880
30.5	2120	21200
30.599999999999998	2019	20190
30.7	2191	21910
30.8	1967	19670
30.9	2121	21210
31	2156	21560
31.099999999999998	2036	20360
31.2	2253	22530
31.3	2298	22980
31.4	2272	22720
31.5	2195	21950
31.599999999999998	2300	23000
31.7	2183	21830
31.8	2266	22660
31.9	2207	22070
32	2335	23350
32.1	2266	22660
32.2	12971	129710
32.3	38012	380120
32.4	38470	384700
32.5	38117	381170
32.6	37865	378650
32.7	38154	381540
32.8	38091	380910
32.9	38245	382450
33	38163	381630
33.1	38107	381070
33.2	38319	383190
33.3	38284	382840
33.4	37836	378360
33.5	38057	380570
33.6	38259	382590
33.7	38235	382350
33.8	38250	382500
33.9	38000	380000
34	38359	383590
