Optical Power Monitor;;;;
3.1.3778.562;;;;
Delimiter Used: ; ';';;
;;;;
Start of Measurement ; 10/6/2021 13:55:27;;;
Sample Interval ; 0,2 s;;;
; PM100D 200430215;;;
Type; PM100D;;;
Serialnumber; P0026910;;;
Sensor; S120C;;;
SensorSerialnumber;200430215;;;
Wavelength / Responsivity; 830 nm;;;
;;;;
;;;PM100D 200430215; 
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);
0; 10/6/2021; 13:55:27.839;9,17E-07;
1; 10/6/2021; 13:55:28.453;9,12E-07;
2; 10/6/2021; 13:55:28.661;9,07E-07;
3; 10/6/2021; 13:55:28.884;9,16E-07;
4; 10/6/2021; 13:55:28.914;9,20E-07;
5; 10/6/2021; 13:55:28.954;9,21E-07;
6; 10/6/2021; 13:55:28.994;9,13E-07;
7; 10/6/2021; 13:55:29.024;9,20E-07;
8; 10/6/2021; 13:55:29.239;9,11E-07;
9; 10/6/2021; 13:55:29.454;9,09E-07;
10; 10/6/2021; 13:55:29.667;9,05E-07;
11; 10/6/2021; 13:55:29.891;9,02E-07;
12; 10/6/2021; 13:55:29.929;9,03E-07;
13; 10/6/2021; 13:55:29.960;9,03E-07;
14; 10/6/2021; 13:55:29.991;9,20E-07;
15; 10/6/2021; 13:55:30.021;9,19E-07;
16; 10/6/2021; 13:55:30.233;9,11E-07;
17; 10/6/2021; 13:55:30.450;9,08E-07;
18; 10/6/2021; 13:55:30.663;8,97E-07;
19; 10/6/2021; 13:55:30.885;8,97E-07;
20; 10/6/2021; 13:55:30.917;9,15E-07;
21; 10/6/2021; 13:55:30.948;9,02E-07;
22; 10/6/2021; 13:55:30.978;9,01E-07;
23; 10/6/2021; 13:55:31.009;9,01E-07;
24; 10/6/2021; 13:55:31.221;9,01E-07;
25; 10/6/2021; 13:55:31.433;9,00E-07;
26; 10/6/2021; 13:55:31.646;8,95E-07;
27; 10/6/2021; 13:55:31.868;8,98E-07;
28; 10/6/2021; 13:55:32.080;8,99E-07;
29; 10/6/2021; 13:55:32.292;8,97E-07;
30; 10/6/2021; 13:55:32.504;8,97E-07;
31; 10/6/2021; 13:55:32.717;9,02E-07;
32; 10/6/2021; 13:55:32.931;8,96E-07;
33; 10/6/2021; 13:55:32.962;8,92E-07;
34; 10/6/2021; 13:55:33.002;8,94E-07;
35; 10/6/2021; 13:55:33.216;9,70E-07;
36; 10/6/2021; 13:55:33.438;1,17E-06;
37; 10/6/2021; 13:55:33.643;1,18E-06;
38; 10/6/2021; 13:55:33.868;1,17E-06;
39; 10/6/2021; 13:55:34.084;1,17E-06;
40; 10/6/2021; 13:55:34.300;1,16E-06;
41; 10/6/2021; 13:55:34.521;1,17E-06;
42; 10/6/2021; 13:55:34.737;1,16E-06;
43; 10/6/2021; 13:55:34.950;1,16E-06;
44; 10/6/2021; 13:55:34.981;1,16E-06;
45; 10/6/2021; 13:55:35.011;1,17E-06;
46; 10/6/2021; 13:55:35.225;1,16E-06;
47; 10/6/2021; 13:55:35.438;1,16E-06;
48; 10/6/2021; 13:55:35.651;1,15E-06;
49; 10/6/2021; 13:55:35.864;1,16E-06;
50; 10/6/2021; 13:55:36.079;1,16E-06;
51; 10/6/2021; 13:55:36.292;1,16E-06;
52; 10/6/2021; 13:55:36.503;1,16E-06;
53; 10/6/2021; 13:55:36.716;1,17E-06;
54; 10/6/2021; 13:55:36.931;1,17E-06;
55; 10/6/2021; 13:55:36.963;1,15E-06;
56; 10/6/2021; 13:55:37.013;1,18E-06;
57; 10/6/2021; 13:55:37.222;1,16E-06;
58; 10/6/2021; 13:55:37.435;1,17E-06;
59; 10/6/2021; 13:55:37.650;1,21E-06;
60; 10/6/2021; 13:55:37.872;1,09E-06;
61; 10/6/2021; 13:55:37.902;9,02E-07;
62; 10/6/2021; 13:55:37.933;9,11E-07;
63; 10/6/2021; 13:55:37.964;9,02E-07;
64; 10/6/2021; 13:55:37.996;9,11E-07;
65; 10/6/2021; 13:55:38.027;9,00E-07;
66; 10/6/2021; 13:55:38.240;9,17E-07;
67; 10/6/2021; 13:55:38.453;9,09E-07;
68; 10/6/2021; 13:55:38.668;9,44E-07;
69; 10/6/2021; 13:55:38.887;1,15E-06;
70; 10/6/2021; 13:55:38.918;1,14E-06;
71; 10/6/2021; 13:55:38.949;1,14E-06;
72; 10/6/2021; 13:55:38.981;1,15E-06;
73; 10/6/2021; 13:55:39.014;1,15E-06;
74; 10/6/2021; 13:55:39.230;1,15E-06;
75; 10/6/2021; 13:55:39.449;1,15E-06;
76; 10/6/2021; 13:55:39.666;1,16E-06;
77; 10/6/2021; 13:55:39.883;1,16E-06;
78; 10/6/2021; 13:55:39.915;1,15E-06;
79; 10/6/2021; 13:55:39.946;1,15E-06;
80; 10/6/2021; 13:55:39.978;1,15E-06;
81; 10/6/2021; 13:55:40.009;8,93E-07;
82; 10/6/2021; 13:55:40.226;9,21E-07;
83; 10/6/2021; 13:55:40.444;9,12E-07;
84; 10/6/2021; 13:55:40.656;9,21E-07;
85; 10/6/2021; 13:55:40.871;9,24E-07;
86; 10/6/2021; 13:55:40.905;9,30E-07;
87; 10/6/2021; 13:55:40.943;9,28E-07;
88; 10/6/2021; 13:55:40.975;9,27E-07;
89; 10/6/2021; 13:55:41.010;9,17E-07;
90; 10/6/2021; 13:55:41.225;9,20E-07;
91; 10/6/2021; 13:55:41.439;9,24E-07;
92; 10/6/2021; 13:55:41.651;9,27E-07;
93; 10/6/2021; 13:55:41.865;9,70E-07;
94; 10/6/2021; 13:55:42.082;1,24E-06;
95; 10/6/2021; 13:55:42.312;1,21E-06;
96; 10/6/2021; 13:55:42.529;1,19E-06;
97; 10/6/2021; 13:55:42.746;1,16E-06;
98; 10/6/2021; 13:55:42.964;1,24E-06;
99; 10/6/2021; 13:55:43.009;1,26E-06;
100; 10/6/2021; 13:55:43.210;1,23E-06;
101; 10/6/2021; 13:55:43.427;1,23E-06;
102; 10/6/2021; 13:55:43.644;1,22E-06;
103; 10/6/2021; 13:55:43.861;1,23E-06;
104; 10/6/2021; 13:55:44.078;1,22E-06;
105; 10/6/2021; 13:55:44.296;1,23E-06;
106; 10/6/2021; 13:55:44.515;1,23E-06;
107; 10/6/2021; 13:55:44.731;1,23E-06;
108; 10/6/2021; 13:55:44.948;1,24E-06;
109; 10/6/2021; 13:55:44.982;1,24E-06;
110; 10/6/2021; 13:55:45.014;1,23E-06;
111; 10/6/2021; 13:55:45.235;1,24E-06;
112; 10/6/2021; 13:55:45.450;1,23E-06;
113; 10/6/2021; 13:55:45.666;1,23E-06;
114; 10/6/2021; 13:55:45.880;1,23E-06;
115; 10/6/2021; 13:55:45.913;1,23E-06;
116; 10/6/2021; 13:55:45.962;1,23E-06;
117; 10/6/2021; 13:55:46.008;1,22E-06;
118; 10/6/2021; 13:55:46.218;1,23E-06;
119; 10/6/2021; 13:55:46.433;1,24E-06;
120; 10/6/2021; 13:55:46.649;1,23E-06;
121; 10/6/2021; 13:55:46.865;1,10E-06;
122; 10/6/2021; 13:55:47.086;1,26E-06;
123; 10/6/2021; 13:55:47.303;1,24E-06;
124; 10/6/2021; 13:55:47.523;1,24E-06;
125; 10/6/2021; 13:55:47.739;1,25E-06;
126; 10/6/2021; 13:55:47.955;1,26E-06;
127; 10/6/2021; 13:55:47.986;1,25E-06;
128; 10/6/2021; 13:55:48.017;1,26E-06;
129; 10/6/2021; 13:55:48.231;1,24E-06;
130; 10/6/2021; 13:55:48.444;1,25E-06;
131; 10/6/2021; 13:55:48.658;1,25E-06;
132; 10/6/2021; 13:55:48.873;1,24E-06;
133; 10/6/2021; 13:55:48.903;1,24E-06;
134; 10/6/2021; 13:55:48.933;1,23E-06;
135; 10/6/2021; 13:55:48.964;1,23E-06;
136; 10/6/2021; 13:55:48.994;1,25E-06;
137; 10/6/2021; 13:55:49.026;1,24E-06;
138; 10/6/2021; 13:55:49.239;1,24E-06;
139; 10/6/2021; 13:55:49.450;1,24E-06;
140; 10/6/2021; 13:55:49.663;1,24E-06;
